image_filename,label,prob
faceframe_second100_frame2505_0,0,1.0
faceframe_second94_frame2355_0,0,1.0
faceframe_second99_frame2493_0,0,1.0
faceframe_second109_frame2730_1,0,1.0
faceframe_second148_frame3718_0,0,1.0
faceframe_second148_frame3724_0,0,1.0
faceframe_second149_frame3730_0,0,1.0
faceframe_second149_frame3736_0,0,1.0
faceframe_second149_frame3743_0,0,1.0
faceframe_second150_frame3761_0,0,1.0
faceframe_second150_frame3768_0,0,1.0
faceframe_second109_frame2730_0,0,1.0
faceframe_second99_frame2499_0,0,1.0
faceframe_second108_frame2724_1,0,1.0
faceframe_second108_frame2724_0,0,1.0
faceframe_second151_frame3786_2,0,1.0
faceframe_second108_frame2718_1,0,1.0
faceframe_second94_frame2361_0,0,1.0
faceframe_second109_frame2749_0,0,1.0
faceframe_second107_frame2693_0,0,1.0
faceframe_second110_frame2768_1,1,1.0
faceframe_second155_frame3886_1,1,1.0
faceframe_second142_frame3568_2,1,1.0
faceframe_second143_frame3586_0,1,1.0
faceframe_second143_frame3580_2,1,1.0
faceframe_second121_frame3036_0,1,1.0
faceframe_second11_frame280_0,1,1.0
faceframe_second111_frame2793_1,1,1.0
faceframe_second111_frame2786_1,1,1.0
faceframe_second142_frame3561_1,1,1.0
faceframe_second111_frame2780_1,1,1.0
faceframe_second104_frame2624_2,1,1.0
faceframe_second110_frame2774_2,1,1.0
faceframe_second110_frame2774_1,1,1.0
faceframe_second10_frame274_0,1,1.0
faceframe_second10_frame268_0,1,1.0
faceframe_second81_frame2036_0,1,1.0
faceframe_second143_frame3586_4,1,1.0
faceframe_second102_frame2574_1,1,1.0
faceframe_second102_frame2561_0,1,1.0
faceframe_second112_frame2818_0,2,1.0
faceframe_second123_frame3099_0,2,1.0
faceframe_second69_frame1749_0,2,1.0
faceframe_second77_frame1936_0,2,1.0
faceframe_second77_frame1943_0,2,1.0
faceframe_second77_frame1949_0,2,1.0
faceframe_second91_frame2299_0,2,1.0
faceframe_second92_frame2305_0,2,1.0
faceframe_second92_frame2311_0,2,1.0
faceframe_second92_frame2318_0,2,1.0
faceframe_second92_frame2324_0,2,1.0
faceframe_second98_frame2461_0,2,1.0
faceframe_second98_frame2468_0,2,1.0
faceframe_second104_frame2611_1,2,1.0
faceframe_second104_frame2618_1,2,1.0
faceframe_second124_frame3105_0,2,1.0
faceframe_second70_frame1761_0,2,1.0
faceframe_second107_frame2693_1,2,1.0
faceframe_second109_frame2736_0,2,1.0
faceframe_second122_frame3074_0,2,1.0
