second,cluster,size
7,-1,2
8,-1,4
9,0,1
10,0,1
10,1,2
11,-1,2
11,1,3
12,1,2
33,0,3
34,0,3
35,2,3
36,2,4
37,-1,2
37,2,2
38,-1,4
41,1,8
42,0,1
42,1,6
58,2,2
59,2,4
60,0,1
60,2,2
62,-1,2
63,-1,4
64,-1,2
68,0,1
69,0,2
69,2,2
70,2,4
71,2,4
72,2,1
74,2,4
75,2,4
76,2,4
77,2,4
81,1,1
91,2,2
92,2,4
94,0,2
98,2,4
99,0,2
99,2,1
100,0,3
101,0,2
102,0,3
102,1,3
103,-1,3
103,0,1
103,1,2
104,-1,1
104,0,3
104,1,2
104,2,3
105,-1,3
105,0,2
105,1,3
105,2,1
106,-1,1
106,0,4
107,-1,1
107,0,3
107,2,4
108,0,5
108,1,1
108,2,2
109,0,6
109,1,1
109,2,2
110,-1,1
110,0,2
110,1,3
110,2,2
111,1,3
111,2,3
112,0,1
112,2,2
113,0,1
119,0,1
121,1,1
121,2,2
122,2,4
123,2,4
124,1,1
124,2,1
125,2,1
126,2,1
127,2,1
128,0,2
128,2,4
129,2,1
130,0,4
135,0,1
136,0,4
137,0,2
142,-1,8
142,0,2
142,1,5
143,-1,10
143,0,1
143,1,10
143,2,1
144,-1,15
144,0,2
144,1,5
145,-1,27
145,0,4
146,-1,21
146,0,3
147,-1,4
148,-1,2
148,0,2
149,0,4
150,0,3
150,1,1
150,2,1
151,0,3
151,1,4
151,2,3
152,-1,1
152,0,3
154,-1,2
155,-1,5
155,1,1
156,-1,2
156,0,2
157,0,4
158,0,4
159,0,2
160,0,2
160,1,1
161,-1,2
161,0,3
162,-1,4
162,0,4
163,-1,3
163,0,1
