second,cluster,size
0,5,4
1,5,4
2,5,4
3,5,4
4,5,4
5,5,4
6,5,4
7,5,4
8,5,4
9,5,4
10,5,4
11,5,4
12,5,4
13,5,4
14,5,4
15,5,4
16,5,4
17,5,4
18,5,4
19,5,4
20,5,4
21,5,4
22,5,4
23,5,4
24,6,4
25,6,4
26,6,4
27,6,4
28,-1,4
29,-1,4
30,-1,4
31,-1,4
32,6,4
33,6,4
34,6,4
35,6,4
36,6,4
37,6,4
38,6,4
39,6,4
40,7,4
41,7,4
42,7,4
43,7,4
44,7,4
45,7,4
46,7,4
47,7,4
48,7,4
49,7,4
50,7,4
51,7,4
52,7,4
53,7,4
54,7,4
55,7,4
56,7,4
57,7,4
58,7,4
59,7,4
60,7,4
61,7,4
62,7,4
63,7,4
64,7,4
65,7,4
66,7,4
67,7,4
68,7,4
69,7,4
70,7,4
71,7,4
72,7,4
73,7,4
74,7,4
75,-1,2
75,7,2
76,-1,4
77,-1,4
78,-1,4
79,-1,3
79,7,1
80,1,1
80,5,2
80,7,1
81,1,4
82,1,4
83,1,4
84,1,4
85,1,4
86,1,4
87,1,4
88,1,4
89,1,4
90,0,4
91,0,4
92,0,4
93,0,4
94,0,4
95,0,4
96,0,4
97,0,4
98,0,4
99,0,4
100,2,4
101,2,4
102,2,4
103,2,4
104,2,4
105,2,4
106,2,4
107,2,4
108,2,4
109,2,4
110,2,4
111,2,4
112,2,4
113,2,4
114,2,4
115,2,4
116,2,4
117,2,4
118,2,4
119,2,4
120,4,4
121,4,4
122,4,4
123,4,4
124,4,4
125,4,4
126,4,4
127,4,4
128,4,4
129,4,4
130,4,4
131,4,4
132,4,4
133,4,4
134,4,4
135,4,4
136,4,4
137,4,4
138,4,4
139,4,4
140,4,4
141,4,4
142,4,4
143,4,4
144,4,4
145,4,4
146,4,4
147,4,4
148,4,4
149,4,4
150,4,4
151,4,4
152,4,4
153,4,4
154,4,4
155,4,4
156,4,4
157,4,4
158,4,4
159,4,4
160,3,4
161,3,4
162,3,4
163,3,4
164,3,4
165,3,4
166,3,4
167,3,4
168,3,4
