second,cluster,size
0,0,4
0,1,4
0,3,4
1,0,4
1,1,4
1,2,3
1,3,1
2,0,4
2,1,4
2,2,4
3,0,4
3,1,4
3,2,4
4,0,4
4,1,4
4,2,4
5,0,4
5,1,4
5,2,4
6,1,5
6,2,4
7,0,4
7,1,4
7,2,4
8,0,4
8,1,4
8,2,4
9,0,4
9,1,4
9,2,4
10,0,4
10,1,1
10,2,4
11,0,4
12,0,4
12,1,4
12,2,4
13,0,4
13,1,4
13,2,4
14,0,4
14,1,4
14,2,4
15,0,4
15,1,4
15,2,4
16,-1,2
16,0,3
16,1,1
16,2,3
17,-1,3
17,0,1
17,1,4
17,2,2
18,0,4
18,1,4
18,2,4
19,-1,2
19,0,4
19,1,4
19,2,2
20,0,4
20,1,4
21,0,4
21,1,4
21,2,4
22,0,4
22,1,4
22,2,4
23,0,4
23,1,4
23,2,4
24,0,4
24,1,4
24,2,4
25,0,4
25,1,4
25,2,4
26,0,4
26,1,2
26,2,3
27,0,4
27,1,2
27,2,4
28,0,4
28,1,4
28,2,4
29,0,4
29,1,3
29,2,4
30,0,4
30,1,2
30,2,4
30,3,1
31,0,4
31,1,3
31,2,1
31,3,3
32,0,4
32,1,4
33,0,4
33,1,3
33,2,3
34,0,4
34,1,3
34,2,4
35,0,4
35,1,4
35,2,2
36,0,4
36,1,3
36,3,3
37,-1,3
37,0,4
37,1,3
37,2,1
38,-1,4
38,0,4
38,1,4
39,-1,4
39,0,4
39,1,4
40,-1,4
40,0,4
40,1,4
41,-1,4
41,0,4
41,1,4
42,-1,4
42,0,4
42,1,4
43,-1,4
43,0,4
43,1,4
44,-1,4
44,0,4
44,1,4
45,-1,4
45,0,4
45,1,4
46,-1,4
46,0,4
46,1,4
47,-1,4
47,0,4
47,1,4
48,-1,4
48,0,4
48,1,4
49,-1,3
49,0,4
49,1,4
50,0,4
51,0,4
52,0,4
52,1,1
53,0,4
54,0,4
54,1,2
55,0,4
55,1,1
56,0,4
56,3,2
57,0,4
57,3,4
58,0,4
58,3,4
59,0,4
59,3,4
60,0,4
60,3,4
61,0,4
61,2,2
61,3,2
62,0,4
62,1,2
62,3,4
63,0,4
63,1,2
63,3,4
64,0,4
64,1,4
64,3,4
65,0,4
65,1,4
65,3,4
66,0,4
66,1,3
66,3,4
67,0,4
67,1,4
67,3,4
68,0,4
68,1,4
68,2,4
69,0,4
69,1,1
69,2,3
69,3,1
70,0,4
70,1,3
70,3,4
71,0,4
71,1,4
71,2,1
72,0,4
72,1,4
72,2,1
72,3,1
73,0,4
73,1,4
73,2,1
73,3,1
74,0,4
74,1,4
74,2,3
75,0,2
75,1,4
75,2,2
76,0,3
76,1,4
76,2,1
76,3,2
77,0,4
77,1,3
77,3,4
78,0,4
78,1,4
78,3,4
79,0,4
79,1,4
79,3,4
80,0,4
80,1,4
80,3,4
81,0,4
81,1,4
81,3,4
82,0,4
82,1,4
82,3,4
83,0,4
83,1,4
83,3,4
84,0,4
84,1,4
84,3,4
85,0,4
85,1,4
85,3,4
86,0,4
86,1,4
86,3,4
87,0,4
87,1,4
87,3,4
88,0,4
88,1,4
88,3,4
89,0,4
89,1,4
89,3,4
90,0,4
90,1,4
90,3,4
91,0,4
91,1,4
91,3,4
92,0,4
92,1,4
92,3,4
93,0,4
93,1,4
93,3,4
94,0,4
94,1,4
94,3,4
95,0,4
95,1,4
95,2,2
95,3,2
96,0,4
96,1,4
96,3,4
97,0,1
97,1,1
97,3,1
