second,cluster,size
0,2,4
1,-1,1
1,3,3
2,2,4
3,2,4
4,2,4
5,2,4
6,2,3
6,3,1
7,2,4
8,2,4
9,2,4
10,3,4
11,3,4
12,3,4
13,-1,3
13,3,1
14,-1,4
15,-1,4
16,-1,2
16,3,2
17,3,4
18,3,4
19,3,4
20,0,4
21,0,4
22,0,4
23,-1,3
23,0,1
24,-1,4
25,-1,4
26,-1,2
26,0,2
27,0,4
28,0,4
29,0,4
30,0,4
31,0,4
32,0,4
33,0,1
33,1,3
34,1,4
35,1,4
36,1,4
37,1,4
38,1,4
39,1,4
40,1,4
41,1,4
42,1,4
43,1,4
44,1,4
45,1,4
46,1,4
47,1,4
48,1,4
49,1,4
50,4,4
51,4,4
52,4,4
53,4,4
54,4,4
55,4,4
56,4,4
57,4,4
58,4,4
59,4,4
60,4,4
61,4,4
62,4,4
63,4,4
64,4,4
65,4,4
66,3,1
66,4,3
67,-1,1
67,5,3
68,5,4
69,5,4
70,5,4
71,5,4
72,5,4
73,5,4
74,5,4
75,5,4
76,5,4
77,5,4
78,5,4
79,5,4
80,5,4
81,5,4
82,5,4
83,5,4
84,5,4
85,5,4
86,5,4
87,5,4
88,5,4
89,5,4
90,5,4
91,5,4
92,5,4
93,5,4
94,5,4
95,5,4
96,5,4
97,5,4
98,5,4
99,5,4
100,-1,4
101,-1,4
102,-1,4
103,-1,2
