name,cluster,x,y,second,frame,anger,disgust,happy,neutral,contempt,sadness,surprise,fear
faceframe_second0_frame14_0,-1,17.855,12.731499,0,14,0.18666715919971466,0.1612885743379593,0.13930200040340424,0.11819707602262497,0.11198943108320236,,,
faceframe_second0_frame14_1,-1,2.2140326,-6.7351003,0,14,0.11225880682468414,0.2026435136795044,0.19898173213005066,0.11120281368494034,0.12068665027618408,,,
faceframe_second0_frame14_2,0,8.512848,1.972749,0,14,0.18171605467796326,0.19069284200668335,,0.12977764010429382,,0.11873045563697815,0.10962557792663574,
faceframe_second0_frame14_3,-1,-7.7899733,1.4494038,0,14,0.08923815190792084,0.139455646276474,0.3920733332633972,0.0843382254242897,0.07893301546573639,,,
faceframe_second0_frame14_4,2,7.963321,15.883901,0,14,0.26170018315315247,0.13888975977897644,,0.14082181453704834,0.10367152839899063,0.1142352968454361,,
faceframe_second0_frame19_0,-1,17.840961,12.71207,0,19,0.18666715919971466,0.1612885743379593,0.13930200040340424,0.11819707602262497,0.11198943108320236,,,
faceframe_second0_frame19_1,-1,2.2357378,-6.7569203,0,19,0.11225880682468414,0.2026435136795044,0.19898173213005066,0.11120281368494034,0.12068665027618408,,,
faceframe_second0_frame19_2,0,8.041018,3.1205237,0,19,0.180863156914711,0.20147894322872162,,0.1242433562874794,,0.11921876668930054,0.10797909647226334,
faceframe_second0_frame19_3,2,4.2474947,17.338963,0,19,0.2102917730808258,0.16019771993160248,0.11550755798816681,0.12796805799007416,0.11037848144769669,,,
faceframe_second0_frame19_4,-1,-7.789998,1.449437,0,19,0.08923815190792084,0.139455646276474,0.3920733332633972,0.0843382254242897,0.07893301546573639,,,
faceframe_second0_frame4_0,-1,17.857273,12.737476,0,4,0.18666715919971466,0.1612885743379593,0.13930200040340424,0.11819707602262497,0.11198943108320236,,,
faceframe_second0_frame4_1,-1,2.2205505,-6.741749,0,4,0.11225880682468414,0.2026435136795044,0.19898173213005066,0.11120281368494034,0.12068665027618408,,,
faceframe_second0_frame4_2,0,8.140957,3.2399354,0,4,0.18986696004867554,0.19872690737247467,,0.1231754794716835,,0.12262120097875595,0.11149521917104721,
faceframe_second0_frame4_3,-1,-7.792595,1.4521906,0,4,0.08923815190792084,0.139455646276474,0.3920733332633972,0.0843382254242897,0.07893301546573639,,,
faceframe_second0_frame9_0,-1,17.870132,12.739065,0,9,0.18576742708683014,0.1624985784292221,0.13821148872375488,0.11825267225503922,0.11199874430894852,,,
faceframe_second0_frame9_1,-1,2.2347674,-6.7559466,0,9,0.11225880682468414,0.2026435136795044,0.19898173213005066,0.11120281368494034,0.12068665027618408,,,
faceframe_second0_frame9_2,0,8.092293,3.130269,0,9,0.19197504222393036,0.1969078928232193,,0.12497098743915558,,0.1242704689502716,0.1099548414349556,
faceframe_second0_frame9_3,-1,-7.7850776,1.4446337,0,9,0.08923815190792084,0.139455646276474,0.3920733332633972,0.0843382254242897,0.07893301546573639,,,
faceframe_second100_frame2004_0,2,9.360923,16.565796,100,2004,0.25863680243492126,0.18203365802764893,,0.12028738111257553,0.08389637619256973,0.11938510090112686,,
faceframe_second100_frame2004_1,0,8.698785,3.8935525,100,2004,0.18839401006698608,0.2601590156555176,,0.11066457629203796,,0.11328811198472977,0.107323557138443,
faceframe_second100_frame2009_0,2,9.293597,16.403969,100,2009,0.23893314599990845,0.19201026856899261,,0.1294003278017044,0.09308376908302307,0.10084980726242065,,
faceframe_second100_frame2009_1,0,7.605264,3.4414344,100,2009,0.1739112287759781,0.2885589301586151,,0.09411775320768356,,0.10514851659536362,0.10751353204250336,
faceframe_second100_frame2014_0,2,9.555681,16.634312,100,2014,0.250011146068573,0.1698666512966156,,0.12943057715892792,0.08903927356004715,0.11282067745923996,,
faceframe_second100_frame2014_1,0,8.415287,3.9692752,100,2014,0.19583986699581146,0.20004579424858093,,0.12393926084041595,,0.11252196878194809,0.1040024533867836,
faceframe_second100_frame2019_0,2,9.983498,17.390709,100,2019,0.25402018427848816,0.16212135553359985,0.09179287403821945,0.1220976859331131,,0.12082035839557648,,
faceframe_second100_frame2019_1,0,8.808061,4.0214305,100,2019,0.2037598341703415,0.19964274764060974,,0.12309600412845612,,0.1143103837966919,0.10231266915798187,
faceframe_second101_frame2024_0,2,8.683924,16.834568,101,2024,0.19532902538776398,0.1808890849351883,0.11862749606370926,0.12109708040952682,,0.11234818398952484,,
faceframe_second101_frame2024_1,0,8.721861,4.001833,101,2024,0.19531592726707458,0.18402762711048126,,0.12391167134046555,0.10508571565151215,0.12077531218528748,,
faceframe_second101_frame2029_0,2,9.815059,17.66186,101,2029,0.26266589760780334,0.17116418480873108,,0.12547266483306885,0.08827340602874756,0.11309771984815598,,
faceframe_second101_frame2029_1,0,8.738585,3.9247305,101,2029,0.19517628848552704,0.18004950881004333,,0.12652768194675446,0.10496196150779724,0.11920756101608276,,
faceframe_second101_frame2034_0,2,9.761542,17.624102,101,2034,0.23142801225185394,0.169865682721138,,0.13755571842193604,0.09195023030042648,0.11221251636743546,,
faceframe_second101_frame2034_1,0,10.190037,2.996818,101,2034,0.21038274466991425,0.2100287675857544,,0.1286146193742752,,0.1075923889875412,0.09676158428192139,
faceframe_second101_frame2039_0,2,9.430013,17.536303,101,2039,0.21663278341293335,0.216062530875206,0.09071867913007736,0.11943985521793365,,0.11295147240161896,,
faceframe_second101_frame2039_1,0,10.1784315,2.906577,101,2039,0.1996433585882187,0.1962963491678238,,0.13527807593345642,,0.11776187270879745,0.09751138836145401,
faceframe_second102_frame2044_0,2,9.605171,17.521515,102,2044,0.2333318591117859,0.17810288071632385,,0.13815417885780334,0.09285514056682587,0.10830928385257721,,
faceframe_second102_frame2044_1,0,10.288212,2.8635597,102,2044,0.22205477952957153,0.19053639471530914,,0.13451334834098816,,0.11640971153974533,0.09405186772346497,
faceframe_second102_frame2049_0,2,9.315682,17.459501,102,2049,0.21522334218025208,0.18590131402015686,0.0978410616517067,0.12787722051143646,,0.11650021374225616,,
faceframe_second102_frame2049_1,0,10.016452,3.1563606,102,2049,0.1884804517030716,0.23278625309467316,,0.11846324056386948,,0.11379483342170715,0.1082327738404274,
faceframe_second102_frame2054_0,2,9.32846,17.341366,102,2054,0.22345085442066193,0.1862257421016693,0.0959453210234642,0.12362958490848541,,0.11680576950311661,,
faceframe_second102_frame2054_1,0,9.980658,3.008986,102,2054,0.17233140766620636,0.24511092901229858,,0.11844727396965027,,0.10688649117946625,0.11663034558296204,
faceframe_second4_frame89_0,-1,17.720572,12.165236,4,89,0.17543567717075348,0.15701617300510406,0.1299346685409546,0.12024004012346268,0.11305294930934906,,,
faceframe_second4_frame89_1,3,13.036619,22.614048,4,89,0.1224391907453537,0.1978357881307602,0.1842602640390396,0.11827310919761658,0.11304185539484024,,,
faceframe_second4_frame89_2,2,6.2559958,14.624036,4,89,0.2929569482803345,0.21979236602783203,,0.10533235967159271,0.08258470892906189,0.10764478147029877,,
faceframe_second4_frame89_3,0,10.247931,2.5587518,4,89,0.19626115262508392,0.1695968210697174,0.10987136512994766,0.13268545269966125,,0.11911138892173767,,
faceframe_second4_frame89_4,-1,22.781826,12.014397,4,89,0.09035933017730713,0.13814741373062134,0.3952222168445587,0.08258286863565445,0.07758310437202454,,,
faceframe_second4_frame94_0,-1,17.709082,12.158853,4,94,0.17550945281982422,0.15653716027736664,0.12971802055835724,0.12039787322282791,0.11295991390943527,,,
faceframe_second4_frame94_1,3,13.082699,22.568008,4,94,0.1224391907453537,0.1978357881307602,0.1842602640390396,0.11827310919761658,0.11304185539484024,,,
faceframe_second4_frame94_2,2,6.261338,14.637196,4,94,0.2747311294078827,0.20678536593914032,,0.1119125485420227,0.08435363322496414,0.10875863581895828,,
faceframe_second4_frame94_3,-1,22.780697,12.0144005,4,94,0.09057800471782684,0.13844938576221466,0.3937704265117645,0.08270349353551865,0.07733746618032455,,,
faceframe_second4_frame94_4,0,9.769654,3.1983027,4,94,0.17951960861682892,0.22208376228809357,,0.11982349306344986,,0.11239425092935562,0.10870566219091415,
faceframe_second4_frame99_0,-1,17.681658,12.130741,4,99,0.18586580455303192,0.19384069740772247,0.14246900379657745,0.10794378072023392,0.11174718290567398,,,
faceframe_second4_frame99_1,2,6.3153644,14.745525,4,99,0.21473899483680725,0.1878049671649933,0.10269584506750107,0.13185536861419678,,0.1112900823354721,,
faceframe_second4_frame99_2,3,12.910844,22.540274,4,99,0.12135502696037292,0.19894061982631683,0.1847398579120636,0.1163875013589859,0.11489570885896683,,,
faceframe_second4_frame99_3,-1,22.781963,12.014384,4,99,0.0869513526558876,0.13789451122283936,0.409132182598114,0.07984105497598648,0.07601018995046616,,,
faceframe_second4_frame99_4,0,10.198257,2.8444932,4,99,0.18072107434272766,0.25364553928375244,,0.11725126206874847,,0.1062268540263176,0.10528817027807236,
faceframe_second50_frame1004_0,2,5.892072,13.931548,50,1004,0.2465587705373764,0.2079201638698578,,0.12089437991380692,0.08712732791900635,0.10886615514755249,,
faceframe_second50_frame1004_1,0,7.8280983,2.8531744,50,1004,0.16854143142700195,0.18263569474220276,,0.12977814674377441,,0.11053348332643509,0.11734886467456818,
faceframe_second50_frame1009_0,2,5.9573216,13.743688,50,1009,0.27557477355003357,0.2127709537744522,,0.11738772690296173,0.07929854094982147,0.10879475623369217,,
faceframe_second50_frame1009_1,0,8.85191,2.4178243,50,1009,0.19160714745521545,0.2070552408695221,,0.11892843246459961,,0.11111175268888474,0.10709331184625626,
faceframe_second50_frame1014_0,2,5.9207535,13.668951,50,1014,0.2724924385547638,0.20901957154273987,,0.12465107440948486,0.07984559237957001,0.11579985916614532,,
faceframe_second50_frame1014_1,0,9.674902,3.1938982,50,1014,0.2012929469347,0.2137850672006607,,0.12413705885410309,,0.12069986015558243,0.10536566376686096,
faceframe_second50_frame1019_0,2,5.851454,13.60635,50,1019,0.3347203731536865,0.1951255351305008,,0.11067219823598862,0.07867375016212463,0.1080612763762474,,
faceframe_second50_frame1019_1,0,8.057306,3.3158174,50,1019,0.18084192276000977,0.21243375539779663,,0.11692620068788528,,0.11897241324186325,0.11090762913227081,
faceframe_second51_frame1024_0,2,5.8274946,13.4789715,51,1024,0.2628914415836334,0.2276739478111267,,0.11369457840919495,0.08072420209646225,0.11489953845739365,,
faceframe_second51_frame1024_1,0,9.808362,1.9186283,51,1024,0.1960228830575943,0.21882589161396027,,0.11734555661678314,,0.11526945233345032,0.10784731060266495,
faceframe_second51_frame1029_0,2,5.834078,13.464884,51,1029,0.25223127007484436,0.2035384476184845,0.08587946742773056,0.13037796318531036,,0.10781288892030716,,
faceframe_second51_frame1029_1,0,9.813762,1.8910959,51,1029,0.19990096986293793,0.22021694481372833,,0.11580327153205872,,0.11423208564519882,0.10381389409303665,
faceframe_second51_frame1034_0,2,5.8473945,13.473298,51,1034,0.26332613825798035,0.22056372463703156,,0.12307414412498474,0.08568073809146881,0.10209748148918152,,
faceframe_second51_frame1034_1,0,9.895864,1.8455783,51,1034,0.20947593450546265,0.22934271395206451,,0.11643592268228531,,0.11381477862596512,0.09584271907806396,
faceframe_second51_frame1039_0,2,5.802697,13.427115,51,1039,0.26536089181900024,0.20826803147792816,,0.1224324181675911,0.08202259242534637,0.11692439019680023,,
faceframe_second51_frame1039_1,0,9.843739,1.8685852,51,1039,0.19981709122657776,0.24482539296150208,,0.12216570228338242,,0.1021193265914917,0.09748136252164841,
faceframe_second52_frame1044_0,2,6.2126126,13.8934,52,1044,0.28154197335243225,0.1836121529340744,,0.13510271906852722,0.0853462964296341,0.11049686372280121,,
faceframe_second52_frame1044_1,0,9.837989,1.8125826,52,1044,0.18571484088897705,0.2410401850938797,,0.12097771465778351,,0.10333520174026489,0.10009265691041946,
faceframe_second52_frame1049_0,2,6.31383,14.086188,52,1049,0.31546294689178467,0.19147755205631256,,0.1175025999546051,0.07295580208301544,0.12141690403223038,,
faceframe_second52_frame1049_1,0,6.084735,1.9601833,52,1049,0.17193472385406494,0.22605790197849274,,0.1162567138671875,,0.10505863279104233,0.10935959219932556,
faceframe_second52_frame1054_0,2,6.867348,15.07795,52,1054,0.28568732738494873,0.19951388239860535,,0.12237973511219025,0.08480929583311081,0.10862717777490616,,
faceframe_second52_frame1054_1,0,6.354632,1.3120171,52,1054,0.1957675814628601,0.22165794670581818,,0.11045610159635544,,0.10957799851894379,0.10213661193847656,
faceframe_second52_frame1059_0,2,7.3494463,14.812505,52,1059,0.23308925330638885,0.22772279381752014,,0.11226437985897064,0.08546072989702225,0.1179971918463707,,
faceframe_second52_frame1059_1,0,6.258011,1.3076118,52,1059,0.19747112691402435,0.22888125479221344,,0.10728089511394501,,0.11232846975326538,0.09860742092132568,
faceframe_second13_frame269_0,-1,-1.0504426,-13.024521,13,269,0.1823490560054779,0.18033656477928162,0.14498178660869598,0.11323273181915283,0.10899912565946579,,,
faceframe_second13_frame269_1,3,14.416524,22.71572,13,269,0.1236894354224205,0.1947370022535324,0.15869244933128357,0.13304956257343292,0.13017968833446503,,,
faceframe_second13_frame269_2,0,7.387178,2.8084033,13,269,0.17367619276046753,0.19038337469100952,,0.12491194903850555,,0.1256255954504013,0.1161203682422638,
faceframe_second13_frame269_3,2,2.114756,17.848614,13,269,0.2208373248577118,0.1781221479177475,,0.13388459384441376,,0.11849064379930496,0.10623778402805328,
faceframe_second13_frame269_4,1,-5.1852455,-2.0985656,13,269,0.10028562694787979,0.13836632668972015,0.3747624158859253,0.08565553277730942,,0.07749738544225693,,
faceframe_second13_frame274_0,-1,-1.0136458,-12.987796,13,274,0.1837472766637802,0.1758842170238495,0.14143438637256622,0.11447188258171082,0.11070661246776581,,,
faceframe_second13_frame274_1,3,15.311511,23.313261,13,274,0.12481635808944702,0.19285991787910461,0.15811681747436523,0.13338792324066162,0.12885768711566925,,,
faceframe_second13_frame274_2,0,7.399799,2.7578878,13,274,0.18211506307125092,0.20233553647994995,,0.12327414751052856,,0.12073300033807755,0.11166158318519592,
faceframe_second13_frame274_3,2,2.0926275,17.890177,13,274,0.2331504076719284,0.1716615855693817,,0.136623814702034,,0.11802700906991959,0.09651917219161987,
faceframe_second13_frame274_4,1,-5.2251654,-2.1384242,13,274,0.10333556681871414,0.13765603303909302,0.36152026057243347,0.08974672108888626,0.07928279042243958,,,
faceframe_second13_frame279_0,-1,-1.0163106,-12.990465,13,279,0.1837472766637802,0.1758842170238495,0.14143438637256622,0.11447188258171082,0.11070661246776581,,,
faceframe_second13_frame279_1,3,15.307101,23.311407,13,279,0.12408297508955002,0.19323855638504028,0.15819531679153442,0.13413536548614502,0.12869417667388916,,,
