second,cluster,size
0,-1,12
0,0,4
0,2,2
1,-1,11
1,0,4
1,2,4
1,3,1
2,-1,8
2,0,4
2,2,3
2,3,4
3,-1,7
3,0,4
3,1,1
3,2,3
3,3,4
4,-1,8
4,0,4
4,2,4
4,3,4
5,-1,9
5,0,4
5,1,1
5,2,4
5,3,2
6,-1,9
6,0,3
6,1,3
6,2,4
7,-1,10
7,0,4
7,1,2
7,2,4
8,-1,11
8,0,4
8,1,1
8,2,4
9,-1,8
9,0,4
9,1,4
9,2,4
10,-1,8
10,0,4
10,1,4
10,2,4
11,-1,4
11,0,4
11,1,4
11,2,4
11,3,4
12,-1,4
12,0,4
12,1,4
12,2,4
12,3,4
13,-1,4
13,0,4
13,1,4
13,2,4
13,3,4
14,-1,4
14,0,4
14,1,4
14,2,4
14,3,4
15,-1,7
15,0,4
15,1,1
15,2,4
15,3,4
16,-1,8
16,0,4
16,2,4
16,3,4
17,0,4
17,2,4
18,0,4
18,2,4
19,0,4
19,2,4
20,0,4
20,2,4
21,0,4
21,2,4
22,0,4
22,2,4
23,0,3
23,2,4
24,0,4
24,2,4
25,0,4
25,2,4
26,0,4
26,2,4
27,0,3
27,2,4
28,0,4
28,2,4
29,0,4
29,2,4
30,0,4
30,2,4
31,0,4
31,2,4
32,0,4
32,2,4
33,0,4
33,2,4
34,0,4
34,2,4
35,0,4
35,2,4
36,0,4
36,2,3
37,0,3
37,2,4
38,0,3
38,2,4
39,0,3
39,2,4
39,3,1
40,0,2
40,2,4
41,0,1
41,2,4
42,0,2
42,2,4
43,0,2
43,2,4
44,2,4
45,0,4
45,2,3
46,0,4
47,0,2
47,2,3
48,0,1
48,2,4
49,0,3
49,2,4
50,0,4
50,2,4
51,0,4
51,2,4
52,0,4
52,2,4
53,0,4
53,2,4
54,0,4
54,2,1
55,0,4
55,2,3
56,0,4
56,2,3
56,3,1
57,0,4
57,2,4
58,0,3
58,2,4
59,0,4
59,2,4
60,0,4
60,2,4
61,0,4
61,2,4
62,0,4
62,2,4
63,0,4
63,2,4
64,0,4
64,2,4
65,0,4
65,2,4
66,0,4
66,2,4
67,0,4
67,2,4
68,0,4
68,2,4
69,0,4
69,2,4
70,0,4
70,2,4
71,0,4
71,2,4
72,0,4
72,2,4
73,0,4
73,2,4
74,0,4
74,2,4
75,0,4
75,2,4
76,0,4
76,2,4
77,0,3
77,2,4
78,0,4
78,2,4
79,0,4
79,2,4
80,0,4
80,2,4
81,0,4
81,2,4
82,0,3
82,2,4
83,0,4
83,2,4
84,0,4
84,2,4
85,0,4
85,2,4
86,0,4
86,2,4
87,0,4
87,2,4
88,0,4
88,2,4
89,0,3
89,2,4
89,3,1
90,0,4
90,2,4
91,0,3
91,2,4
92,0,4
92,2,4
93,0,4
93,2,4
94,0,4
94,2,4
95,0,4
95,2,4
96,0,4
96,2,4
97,0,4
97,2,4
98,0,4
98,2,4
98,3,1
99,0,4
99,2,4
100,0,4
100,2,4
101,0,4
101,2,4
102,0,4
102,2,4
103,0,4
103,2,4
104,0,4
104,2,4
105,0,4
105,2,4
106,0,4
106,2,4
107,0,2
107,2,4
108,0,3
108,2,4
109,0,4
109,2,4
110,0,4
110,2,4
111,0,3
111,2,4
112,0,3
112,2,4
113,0,4
113,2,4
114,0,4
114,2,4
115,0,4
115,2,4
116,0,4
116,2,4
117,0,4
117,2,4
118,0,4
118,2,4
119,0,4
119,2,4
120,0,2
120,2,4
121,0,4
121,2,4
122,0,3
122,2,4
123,0,4
123,2,4
124,0,4
124,2,4
125,0,4
125,2,4
126,0,4
126,2,4
127,0,4
127,2,4
128,0,3
128,2,4
129,0,3
129,2,4
130,0,3
130,2,4
131,0,4
131,2,4
132,0,4
132,2,4
133,0,3
133,2,4
134,0,2
134,2,4
135,0,4
135,2,4
136,0,4
136,2,4
137,0,4
137,2,4
138,0,4
138,2,4
139,0,4
139,2,4
140,0,4
140,2,4
141,0,4
141,2,4
142,0,4
142,2,4
143,0,3
143,2,4
144,0,3
144,2,4
145,0,4
145,2,4
146,0,4
146,2,4
147,0,4
147,2,4
148,0,4
148,2,4
149,0,4
149,2,4
150,0,4
150,2,4
151,0,4
151,2,4
152,0,4
152,2,4
153,0,4
153,2,3
154,0,4
154,2,4
155,0,4
155,2,3
156,0,4
156,2,4
157,0,4
157,2,4
158,0,4
158,2,4
159,0,4
159,2,4
160,0,4
160,2,4
161,0,4
161,2,3
162,0,4
162,2,3
163,0,4
163,2,3
164,0,4
164,2,4
165,0,4
165,2,4
166,0,4
166,2,4
167,0,4
167,2,4
168,0,4
168,2,4
169,0,4
169,2,4
170,0,3
170,2,4
171,0,4
171,2,4
172,0,3
172,2,4
173,0,4
173,2,4
174,0,4
174,2,4
175,0,4
175,2,4
176,0,4
176,2,4
177,0,4
177,2,4
178,0,4
178,2,4
179,0,4
179,2,4
180,0,4
180,2,4
181,0,4
181,2,4
182,0,4
182,2,4
183,0,4
183,2,4
184,0,4
184,2,4
185,0,4
185,2,4
186,0,4
186,2,4
187,0,4
187,2,4
188,0,4
188,2,4
189,0,4
189,2,4
190,0,4
190,2,4
191,0,4
191,2,4
192,0,4
192,2,4
193,0,4
193,2,4
194,0,3
194,2,4
195,2,4
196,0,3
196,2,4
197,0,4
197,2,4
198,0,4
198,2,4
199,0,4
199,2,4
200,0,4
200,2,4
201,0,4
201,2,4
202,0,4
