second,cluster,size
0,-1,1
0,7,3
1,7,4
2,7,4
3,-1,4
4,-1,4
5,7,4
6,7,4
7,7,4
8,7,4
9,7,4
10,7,4
11,7,4
12,7,4
13,7,4
14,7,4
15,7,4
16,7,4
17,7,4
18,7,4
19,7,4
20,7,4
21,7,4
22,-1,4
23,-1,4
24,-1,3
24,7,1
25,0,4
26,0,4
27,0,4
28,0,4
29,0,4
30,3,4
31,3,4
32,3,4
33,3,4
34,3,4
35,-1,4
36,-1,4
37,-1,4
38,-1,4
39,-1,4
40,3,4
41,3,4
42,3,4
43,3,4
44,3,4
45,3,4
46,3,4
47,3,4
48,3,4
49,3,4
50,6,4
51,6,4
52,6,4
53,6,4
54,6,4
55,6,4
56,6,4
57,6,4
58,6,4
59,6,4
60,6,4
61,6,4
62,6,4
63,6,4
64,6,4
65,6,4
66,6,4
67,6,4
68,6,4
69,6,4
70,6,4
71,6,4
72,6,4
73,6,4
74,6,4
75,6,4
76,6,4
77,6,4
78,6,4
79,6,4
80,6,4
81,6,4
82,6,4
83,6,4
84,6,4
85,6,4
86,6,4
87,6,4
88,6,4
89,6,4
90,6,4
91,6,4
92,6,4
93,6,4
94,6,4
95,-1,3
95,6,1
96,-1,4
97,-1,3
97,5,1
98,-1,3
98,5,1
99,5,4
100,6,1
100,8,3
101,4,4
102,4,4
103,4,4
104,4,4
105,4,4
106,4,4
107,4,4
108,4,4
109,4,4
110,4,4
111,4,4
112,4,4
113,4,4
114,4,4
115,4,4
116,4,4
117,4,4
118,4,4
119,4,4
120,4,4
121,4,4
122,4,4
123,4,4
124,4,4
125,4,4
126,4,4
127,4,4
128,4,4
129,4,4
130,4,4
131,4,4
132,4,4
133,4,4
134,4,4
135,4,4
136,4,4
137,4,4
138,4,4
139,4,4
140,4,4
141,4,4
142,4,4
143,4,4
144,4,4
145,4,4
146,4,4
147,4,4
148,4,4
149,4,4
150,1,4
151,1,4
152,1,4
153,1,4
154,1,4
155,1,4
156,1,4
157,1,4
158,1,4
159,1,4
160,1,4
161,1,4
162,1,4
163,1,4
164,1,4
165,1,4
166,1,4
167,1,4
168,1,4
169,1,4
170,1,4
171,1,4
172,1,4
173,1,4
174,1,4
175,1,4
176,1,4
177,1,4
178,1,4
179,1,4
180,1,2
180,2,2
181,1,4
182,1,4
183,1,4
184,1,4
185,1,4
186,1,4
187,1,4
188,1,4
189,1,4
190,1,4
191,5,4
192,5,4
193,5,4
194,5,4
195,5,4
196,5,4
197,5,4
198,5,4
199,5,4
200,8,4
201,8,4
202,8,4
203,8,4
204,8,4
205,8,4
206,8,4
207,8,4
208,8,4
209,8,4
210,2,4
211,2,4
212,2,4
213,2,4
214,2,4
215,2,4
216,2,4
217,2,4
218,2,4
219,2,4
220,2,4
221,2,4
222,2,4
223,2,4
224,2,4
225,2,4
226,2,4
227,2,4
228,2,4
229,2,4
230,2,4
231,2,4
232,2,4
233,2,4
234,2,4
235,2,4
236,2,4
237,2,4
238,2,4
239,2,4
240,2,4
241,2,4
242,2,4
243,2,4
244,2,4
245,2,4
246,2,4
247,2,4
248,2,4
249,2,4
250,0,4
251,0,4
252,0,4
253,0,4
254,0,4
255,0,4
256,0,4
257,0,4
258,0,4
259,0,4
260,0,4
261,0,4
262,0,4
263,0,4
264,0,4
265,0,4
266,0,4
267,0,4
268,0,4
269,0,4
270,0,4
271,0,4
272,0,4
273,0,4
274,0,4
275,0,4
276,0,4
277,0,4
278,0,4
279,0,4
280,0,4
281,0,4
282,0,2
