image_filename,label,prob
faceframe_second43_frame1319_0,0,1.0
faceframe_second46_frame1387_0,0,1.0
faceframe_second42_frame1267_0,0,1.0
faceframe_second41_frame1237_0,0,1.0
faceframe_second49_frame1499_0,0,1.0
faceframe_second49_frame1491_0,0,1.0
faceframe_second49_frame1484_0,0,1.0
faceframe_second49_frame1477_0,0,1.0
faceframe_second48_frame1469_0,0,1.0
faceframe_second41_frame1244_0,0,1.0
faceframe_second41_frame1251_0,0,1.0
faceframe_second46_frame1409_0,0,1.0
faceframe_second46_frame1401_0,0,1.0
faceframe_second46_frame1394_0,0,1.0
faceframe_second45_frame1379_0,0,1.0
faceframe_second50_frame1507_0,0,1.0
faceframe_second45_frame1371_0,0,1.0
faceframe_second45_frame1364_0,0,1.0
faceframe_second45_frame1357_0,0,1.0
faceframe_second44_frame1349_0,0,1.0
faceframe_second33_frame1019_0,1,1.0
faceframe_second15_frame479_0,1,1.0
faceframe_second56_frame1687_0,1,1.0
faceframe_second55_frame1679_0,1,1.0
faceframe_second33_frame997_0,1,1.0
faceframe_second56_frame1701_0,1,1.0
faceframe_second33_frame1011_0,1,1.0
faceframe_second33_frame1004_0,1,1.0
faceframe_second32_frame989_0,1,1.0
faceframe_second32_frame981_0,1,1.0
faceframe_second56_frame1709_0,1,1.0
faceframe_second47_frame1424_0,1,1.0
faceframe_second57_frame1717_0,1,1.0
faceframe_second56_frame1694_0,1,1.0
faceframe_second16_frame487_0,1,1.0
faceframe_second13_frame397_0,1,1.0
faceframe_second15_frame471_0,1,1.0
faceframe_second15_frame464_0,1,1.0
faceframe_second12_frame374_0,1,1.0
faceframe_second12_frame381_1,1,1.0
