second,cluster,size
0,-1,4
0,2,4
0,3,4
0,4,8
0,5,4
1,-1,4
1,2,4
1,3,4
1,4,8
1,5,4
2,-1,4
2,2,4
2,3,4
2,4,8
2,5,4
3,-1,4
3,2,4
3,3,4
3,4,8
3,5,4
4,-1,4
4,0,4
4,1,4
4,2,4
4,3,3
4,4,4
5,-1,4
5,0,4
5,1,4
5,2,4
5,3,4
5,4,4
6,-1,4
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
7,-1,4
7,0,4
7,1,4
7,2,4
7,3,4
7,4,4
8,-1,4
8,0,4
8,1,4
8,2,4
8,3,4
8,4,4
9,-1,4
9,0,1
9,1,4
9,2,4
9,3,2
9,4,4
9,5,3
10,-1,4
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
11,-1,4
11,1,4
11,2,4
11,3,4
11,4,4
11,5,4
12,-1,4
12,1,4
12,2,4
12,3,4
12,4,4
12,5,4
13,-1,4
13,1,4
13,2,4
13,3,4
13,4,4
13,5,4
14,-1,4
14,1,4
14,2,4
14,3,4
14,4,4
14,5,4
15,-1,4
15,0,2
15,1,4
15,2,4
15,3,4
15,4,4
15,5,2
16,-1,4
16,0,4
16,1,4
16,2,4
16,3,1
16,4,4
17,-1,4
17,0,4
17,1,4
17,2,4
17,4,4
18,-1,4
18,0,4
18,1,4
18,2,4
18,4,4
19,-1,4
19,0,4
19,1,4
19,2,4
19,4,4
20,-1,2
20,0,2
20,1,2
20,2,2
20,4,2
23,3,4
24,5,4
36,3,4
37,3,4
38,3,4
39,3,1
40,3,4
41,3,1
47,3,4
48,3,4
49,3,4
50,3,4
51,3,2
52,3,1
53,3,4
54,3,1
58,3,1
59,3,2
60,3,6
61,3,5
62,3,5
63,3,4
67,3,1
