second,cluster,size
0,0,4
1,-1,4
2,0,4
3,0,4
4,0,4
5,0,4
6,0,4
7,0,4
8,0,4
9,0,4
10,-1,4
11,-1,3
11,0,1
12,-1,4
13,-1,4
14,-1,4
15,-1,4
16,-1,4
17,-1,4
18,-1,4
19,-1,4
20,1,4
21,1,4
22,1,4
23,-1,3
23,1,1
24,-1,4
25,-1,4
26,-1,2
26,1,2
27,1,4
28,1,4
29,1,4
30,1,4
31,1,4
32,1,4
33,1,1
33,2,3
34,2,4
35,2,4
36,2,4
37,2,4
38,2,4
39,2,4
40,2,4
41,2,4
42,2,4
43,2,4
44,2,4
45,2,4
46,2,4
47,2,4
48,2,4
49,2,4
50,2,4
51,2,4
52,2,4
53,2,4
54,2,4
55,2,4
56,2,4
57,2,4
58,2,4
59,2,4
60,2,4
61,2,4
62,2,4
63,2,4
64,-1,3
64,2,1
65,-1,3
65,1,1
66,-1,1
66,1,3
67,0,1
67,1,1
