second,cluster,size
0,1,4
0,2,4
0,7,4
1,1,4
1,2,4
1,7,4
2,1,4
2,2,4
2,7,4
3,1,4
3,2,4
3,7,4
4,0,3
4,1,1
4,2,4
4,7,4
4,9,1
5,0,4
5,2,4
5,7,4
6,0,4
6,2,4
6,7,4
6,9,1
7,0,4
7,2,4
7,7,4
7,9,2
8,0,4
8,2,4
8,7,4
9,0,4
9,2,4
9,7,4
9,9,1
10,0,4
10,2,4
10,7,4
11,0,4
11,2,4
11,7,4
11,8,3
12,0,4
12,2,4
12,7,4
12,8,4
13,0,4
13,2,4
13,7,4
13,8,4
14,0,4
14,2,4
14,7,4
14,8,1
15,0,4
15,2,4
15,7,4
16,0,4
16,2,4
16,7,3
16,13,1
17,0,4
17,2,4
17,8,1
17,13,4
18,0,4
18,2,4
18,9,1
18,13,4
19,0,4
19,2,4
19,13,4
20,0,4
20,2,4
20,13,4
21,-1,3
21,0,1
21,2,4
21,13,4
22,-1,4
22,2,4
22,13,4
23,-1,4
23,2,4
23,13,4
24,-1,4
24,2,4
24,3,1
24,7,1
24,13,3
25,-1,2
25,1,2
25,2,4
25,3,4
25,7,4
26,1,4
26,2,4
26,3,4
26,7,4
27,1,4
27,2,4
27,3,4
27,7,4
28,1,4
28,2,4
28,3,4
28,7,4
29,1,4
29,2,4
29,3,4
29,7,4
30,1,4
30,2,4
30,3,4
30,7,4
31,1,4
31,2,4
31,3,4
31,7,4
32,1,4
32,2,4
32,3,4
32,7,4
33,1,4
33,2,4
33,3,4
33,7,4
34,1,4
34,2,4
34,3,4
34,7,4
35,1,1
35,2,1
35,3,1
35,7,1
36,3,3
36,7,3
36,9,2
36,14,3
37,3,4
37,7,4
37,9,4
37,14,4
38,3,4
38,7,4
38,9,4
38,14,4
39,3,4
39,7,4
39,9,4
39,14,4
40,3,4
40,7,4
40,9,4
40,14,4
41,3,4
41,7,4
41,9,4
41,14,4
42,3,4
42,7,4
42,9,4
42,14,4
43,3,4
43,7,4
43,9,4
43,14,4
44,3,4
44,7,4
44,9,4
44,14,4
45,3,4
45,7,4
45,9,4
45,14,4
46,3,4
46,7,4
46,9,4
46,14,4
47,3,4
47,7,4
47,9,4
47,14,4
48,3,4
48,7,4
48,9,3
48,14,4
49,3,4
49,7,4
49,9,1
49,14,4
50,3,4
50,7,4
50,9,4
50,14,4
51,3,4
51,7,4
51,9,4
51,14,4
52,3,4
52,7,4
52,9,4
52,14,4
53,3,4
53,7,4
53,9,4
53,14,4
54,3,4
54,7,4
54,9,4
54,14,4
55,3,4
55,7,4
55,9,4
55,14,4
56,3,4
56,7,4
56,9,4
56,14,4
57,3,4
57,7,4
57,9,4
57,14,4
58,3,4
58,7,4
58,9,4
58,14,4
59,3,4
59,7,4
59,9,4
59,12,3
59,14,1
60,3,4
60,7,4
60,9,4
60,12,4
61,3,4
61,7,4
61,9,4
61,12,4
62,3,4
62,7,4
62,9,3
62,12,4
63,3,4
63,7,4
63,12,4
64,3,4
64,7,4
64,12,4
65,3,4
65,7,4
65,12,4
66,3,4
66,7,4
66,12,4
67,3,4
67,7,4
67,12,3
67,14,1
68,3,4
68,7,4
68,14,4
69,3,4
69,7,4
69,14,4
70,3,4
70,7,4
70,14,4
71,3,4
71,7,4
71,9,2
71,14,4
72,3,4
72,7,4
72,9,3
72,14,4
73,3,4
73,7,4
73,9,2
73,14,4
74,3,4
74,7,4
74,9,4
74,14,4
75,3,4
75,7,4
75,9,3
75,14,4
76,3,4
76,7,4
76,9,3
76,14,4
77,3,4
77,7,4
77,9,4
77,14,4
78,3,4
78,5,3
78,7,4
78,9,4
78,13,1
78,14,3
79,3,4
79,5,1
79,7,4
79,9,4
79,14,4
80,3,4
80,7,4
80,9,4
80,14,4
81,3,4
81,7,4
81,9,1
81,14,4
82,3,4
82,7,4
82,14,4
83,3,4
83,7,4
83,14,4
84,3,4
84,7,4
84,14,4
85,3,4
85,7,4
85,14,4
86,3,4
86,7,4
86,14,4
87,3,4
87,7,4
87,14,4
89,5,4
90,5,4
91,5,4
92,5,4
93,5,4
94,5,4
95,5,2
96,5,2
97,5,3
98,5,4
99,5,4
100,5,4
100,9,1
101,5,4
101,9,4
102,5,5
102,9,4
103,5,4
103,9,4
104,5,4
104,9,4
105,5,4
105,9,4
106,5,4
106,9,4
107,5,4
107,9,4
108,5,4
108,9,4
109,5,4
109,9,4
110,5,4
110,9,4
111,5,4
112,5,4
113,5,4
114,5,4
115,5,4
116,5,4
117,-1,2
117,5,4
117,16,2
118,-1,4
118,5,4
118,9,2
118,16,4
119,-1,4
119,5,2
119,16,4
120,-1,4
120,5,3
120,16,4
121,-1,4
121,5,4
121,16,4
122,-1,4
122,5,4
122,6,4
122,10,4
123,-1,4
123,5,4
123,6,4
123,10,4
124,-1,4
124,5,4
124,6,4
124,10,4
125,-1,4
125,5,4
125,6,4
125,9,2
125,10,4
126,-1,4
126,5,4
126,6,4
126,9,4
126,10,4
127,-1,1
127,5,4
127,6,1
127,9,4
127,10,4
127,15,3
128,5,4
128,10,4
128,15,4
129,5,4
129,10,4
129,15,4
130,5,4
130,9,3
130,10,4
130,15,4
131,5,4
131,9,4
131,10,4
131,15,4
132,-1,3
132,5,4
132,9,2
132,10,1
132,15,1
132,16,3
133,-1,4
133,5,4
133,6,1
133,9,2
133,16,4
134,-1,4
134,5,4
134,16,4
135,-1,4
135,5,4
135,16,4
136,-1,4
136,5,4
136,16,4
137,-1,4
137,4,3
137,5,3
137,16,4
138,-1,4
138,4,4
138,16,4
139,-1,4
139,4,4
139,5,4
139,9,1
139,16,4
140,-1,4
140,4,3
140,5,4
140,6,1
140,9,4
140,11,1
140,16,3
141,-1,4
141,5,4
141,6,4
141,9,4
141,11,4
142,-1,4
142,5,4
142,6,4
142,9,4
142,11,4
143,-1,4
143,5,4
143,6,4
143,9,4
143,11,4
144,-1,4
144,5,4
144,6,4
144,9,4
144,11,4
145,-1,4
145,5,4
145,6,4
145,9,3
145,11,4
146,-1,4
146,5,4
146,6,4
146,9,4
146,11,4
147,-1,1
147,5,4
147,6,3
147,9,4
147,10,2
147,11,1
147,15,2
148,5,4
148,9,4
149,5,4
149,9,4
150,5,4
150,9,4
151,5,4
151,9,4
152,5,4
152,9,4
153,5,4
153,9,4
154,5,4
154,9,4
155,5,4
155,9,4
156,5,4
156,9,4
157,5,4
157,9,1
158,5,4
159,5,4
160,5,4
161,5,4
162,5,4
163,5,4
164,5,4
165,5,4
166,5,4
