second,cluster,size
0,5,4
1,5,4
2,5,4
3,5,4
4,5,4
5,5,4
6,5,4
7,5,4
8,5,4
9,5,4
10,5,4
11,5,4
12,5,4
13,5,4
14,5,4
15,5,4
16,5,4
17,5,4
18,5,4
19,5,4
20,16,4
21,16,4
22,16,4
23,1,3
23,16,1
24,1,4
25,1,4
26,1,2
26,16,2
27,16,4
28,16,4
29,16,4
30,16,4
31,-1,3
31,16,1
32,-1,3
32,16,1
33,-1,1
33,10,2
33,17,1
34,10,4
35,10,4
36,10,4
37,10,4
38,10,4
39,10,4
40,10,4
41,10,4
42,10,4
43,10,4
44,10,4
45,10,4
46,10,4
47,10,4
48,10,4
49,10,4
50,13,4
51,13,4
52,13,4
53,13,4
54,13,4
55,13,4
56,13,4
57,13,4
58,13,4
59,-1,1
59,13,3
60,8,4
61,8,4
62,8,4
63,8,4
64,8,4
65,-1,1
65,8,3
66,-1,3
66,16,1
67,0,3
67,5,1
68,0,4
69,0,4
70,0,4
71,0,4
72,0,4
73,0,4
74,0,4
75,0,4
76,0,4
77,0,4
78,0,4
79,0,4
80,0,4
81,0,4
82,0,4
83,0,4
84,0,4
85,0,4
86,0,4
87,0,4
88,0,4
89,0,4
90,0,4
91,0,4
92,0,4
93,0,4
94,0,4
95,0,4
96,0,4
97,0,4
98,0,4
99,0,4
100,5,4
101,5,4
102,5,4
103,5,4
104,5,4
105,5,4
106,5,4
107,5,4
108,5,4
109,5,4
110,5,4
111,5,4
112,5,4
113,5,4
114,5,4
115,5,4
116,5,4
117,5,4
118,5,4
119,5,4
120,-1,1
120,5,3
121,5,4
122,5,4
123,5,4
124,5,4
125,5,4
126,5,4
127,5,4
128,5,4
129,5,4
130,5,4
131,5,4
132,5,4
133,2,3
133,5,1
134,2,4
135,2,4
136,2,4
137,2,4
138,2,4
139,2,4
140,2,4
141,2,4
142,2,4
143,2,4
144,2,4
145,2,4
146,2,4
147,2,4
148,2,4
149,2,4
150,2,4
151,2,4
152,2,4
153,2,4
154,2,4
155,2,4
156,2,4
157,2,4
158,2,4
159,2,4
160,2,4
161,2,4
162,2,4
163,2,4
164,2,4
165,2,4
166,2,2
166,4,2
167,4,4
168,4,4
169,4,4
170,4,4
171,4,4
172,4,4
173,4,4
174,4,4
175,4,4
176,4,4
177,4,4
178,4,4
179,4,4
180,4,4
181,4,4
182,4,4
183,4,4
184,4,4
185,4,4
186,4,4
187,4,4
188,4,4
189,4,4
190,3,4
191,3,4
192,3,4
193,3,4
194,3,4
195,3,4
196,3,4
197,3,4
198,3,4
199,3,4
200,19,4
201,19,4
202,19,4
203,19,4
204,19,4
205,19,4
206,19,4
207,19,4
208,19,4
209,19,4
210,6,4
211,6,4
212,6,4
213,6,4
214,6,4
215,6,4
216,6,4
217,6,4
218,6,4
219,6,4
220,6,4
221,6,4
222,6,4
223,6,4
224,6,4
225,6,4
226,-1,2
226,6,2
227,6,4
228,6,4
229,6,4
230,6,4
231,6,4
232,6,4
233,1,3
233,6,1
234,1,4
235,1,4
236,1,4
237,1,4
238,1,4
239,1,4
240,1,4
241,1,4
242,1,4
243,1,4
244,1,4
245,1,4
246,1,4
247,1,4
248,1,4
249,1,4
250,1,4
251,1,4
252,1,4
253,1,4
254,1,4
255,1,4
256,1,4
257,1,4
258,1,4
259,1,4
260,1,4
261,1,4
262,1,4
263,1,4
264,1,4
265,1,4
266,-1,2
266,1,2
267,20,4
268,-1,2
268,20,2
269,-1,4
270,20,4
271,20,4
272,20,4
273,20,4
274,20,4
275,20,4
276,20,4
277,20,4
278,20,4
279,20,4
280,-1,1
280,20,3
281,20,4
282,20,4
283,20,4
284,20,4
285,20,4
286,20,4
287,20,4
288,20,4
289,20,4
290,20,4
291,20,4
292,20,4
293,20,4
294,20,4
295,20,4
296,20,4
297,20,4
298,20,4
299,20,4
300,-1,4
301,21,4
302,21,4
303,-1,1
303,21,3
304,21,4
305,21,4
306,21,4
307,21,4
308,21,4
309,21,4
310,21,4
311,-1,3
311,22,1
312,22,4
313,-1,1
313,22,3
314,22,4
315,22,4
316,22,4
317,22,4
318,-1,1
318,22,3
319,-1,4
320,22,4
321,22,4
322,22,4
323,22,4
324,22,4
325,22,4
326,22,4
327,22,4
328,22,4
329,22,4
330,22,4
331,22,4
332,22,4
333,17,3
333,22,1
334,17,4
335,17,4
336,17,4
337,17,4
338,17,4
339,17,4
340,17,4
341,17,4
342,17,4
343,17,4
344,17,4
345,17,4
346,17,4
347,17,4
348,17,4
349,17,4
350,17,4
351,17,4
352,17,4
353,17,4
354,17,4
355,17,4
356,17,4
357,17,4
358,17,4
359,17,4
360,-1,4
361,7,4
362,7,4
363,7,4
364,7,4
365,7,4
366,7,4
367,7,4
368,7,4
369,7,4
370,18,4
371,18,4
372,18,4
373,18,4
374,18,4
375,18,4
376,18,4
377,18,4
378,18,4
379,18,4
380,18,4
381,18,4
382,18,4
383,18,4
384,18,4
385,18,4
386,-1,4
387,18,4
388,18,4
389,18,4
390,18,4
391,18,4
392,18,4
393,18,4
394,18,4
395,18,4
396,18,4
397,18,4
398,18,4
399,18,4
400,8,1
400,17,1
400,19,2
401,9,4
402,9,4
403,9,4
404,9,4
405,9,4
406,9,4
407,9,4
408,9,4
409,9,4
410,18,4
411,18,4
412,18,4
413,18,4
414,18,4
415,18,4
416,18,4
417,18,4
418,18,4
419,18,4
420,18,4
421,18,4
422,18,4
423,18,4
424,18,4
425,18,4
426,18,4
427,18,4
428,18,4
429,18,4
430,18,4
431,18,4
432,18,4
433,17,2
433,18,2
434,18,4
435,18,4
436,18,4
437,18,4
438,18,4
439,18,4
440,18,4
441,18,4
442,18,4
443,18,4
444,18,4
445,18,4
446,18,4
447,18,4
448,18,4
449,18,4
450,11,4
451,11,4
452,11,4
453,11,4
454,11,4
455,11,4
456,11,4
457,11,4
458,11,4
459,11,4
460,18,4
461,18,4
462,18,4
463,18,4
464,-1,4
465,-1,4
466,-1,2
466,17,2
467,18,4
468,18,4
469,18,4
470,18,4
471,18,4
472,18,4
473,18,4
474,18,4
475,18,4
476,18,4
477,18,4
478,18,4
479,18,4
480,18,4
481,18,4
482,18,4
483,18,4
484,18,4
485,18,4
486,-1,4
487,18,4
488,11,4
489,18,4
490,18,4
491,18,4
492,18,4
493,18,4
494,18,4
495,18,4
496,18,4
497,18,4
498,18,4
499,18,4
500,8,4
501,8,4
502,8,4
503,8,4
504,8,4
505,8,4
506,8,4
507,8,4
508,8,4
509,8,4
510,14,4
511,14,4
512,14,4
513,14,4
514,14,4
515,14,4
516,14,4
517,14,4
518,14,4
519,14,4
520,14,4
521,14,4
522,14,4
523,14,4
524,14,4
525,14,4
526,14,4
527,14,4
528,14,4
529,14,4
530,14,4
531,14,4
532,14,4
533,14,4
534,14,4
535,14,4
536,14,4
537,14,4
538,14,4
539,14,4
540,14,4
541,14,4
542,14,4
543,14,4
544,14,4
545,14,4
546,14,4
547,14,4
548,14,4
549,14,4
550,14,4
551,14,4
552,14,4
553,14,4
554,14,4
555,14,4
556,14,4
557,14,4
558,14,4
559,14,4
560,14,4
561,14,4
562,14,4
563,14,4
564,14,4
565,14,4
566,14,4
567,-1,2
567,14,2
568,-1,1
568,14,3
569,-1,2
569,14,2
570,12,4
571,12,4
572,12,4
573,12,4
574,12,4
575,12,4
576,12,4
577,12,4
578,12,4
579,12,4
580,14,4
581,15,4
582,15,4
583,14,1
583,15,3
584,15,4
585,15,4
586,15,4
587,15,4
588,15,4
589,15,4
590,14,2
590,15,2
591,15,4
592,15,4
593,15,4
594,15,4
595,15,4
596,15,4
597,15,4
598,15,4
599,15,4
600,8,4
601,8,4
602,8,4
603,8,4
604,8,4
605,8,4
606,8,4
607,8,4
608,8,4
609,8,4
610,8,4
611,8,4
612,8,4
613,8,4
614,8,4
615,8,4
616,8,4
617,8,4
618,8,4
619,8,4
620,8,4
621,8,4
622,8,4
623,8,4
624,8,4
625,8,4
626,8,4
627,8,4
628,8,4
629,8,4
630,8,4
631,8,4
632,8,4
