second,cluster,size
0,6,3
1,6,4
2,6,4
3,6,4
4,6,4
5,6,4
6,6,4
7,6,4
8,6,4
9,5,3
9,6,1
10,5,1
22,-1,1
22,4,1
22,6,1
23,-1,4
23,1,3
23,4,4
23,6,1
24,-1,4
24,1,4
24,4,4
25,-1,4
25,1,4
25,4,4
26,-1,4
26,1,4
26,4,4
27,-1,4
27,1,4
27,4,4
28,-1,4
28,1,4
28,4,4
29,-1,8
29,1,4
30,-1,8
30,1,4
31,-1,8
31,1,4
32,-1,7
32,1,4
32,7,1
33,-1,6
33,1,4
33,7,2
34,-1,8
34,1,1
35,-1,8
35,1,4
36,-1,5
36,1,4
36,5,1
36,7,3
37,-1,4
37,1,4
37,7,4
38,-1,2
38,1,2
38,7,2
41,-1,4
42,-1,4
43,-1,4
43,3,1
44,-1,3
45,5,1
49,5,4
50,5,4
51,5,2
53,7,1
57,3,1
64,3,1
67,5,4
68,5,4
69,3,2
69,5,4
70,-1,4
70,4,4
70,6,4
70,7,4
70,8,1
71,-1,5
71,4,4
71,6,4
71,7,5
71,8,2
72,-1,2
72,4,2
72,6,2
72,7,2
73,8,1
74,8,3
75,8,4
76,-1,12
76,1,3
77,-1,10
78,-1,8
79,-1,8
80,-1,6
80,3,2
81,-1,4
81,3,4
82,-1,4
82,3,4
83,-1,2
83,3,4
84,3,4
85,3,3
86,3,1
87,3,3
88,3,2
89,3,2
93,3,1
94,3,4
95,-1,2
95,3,1
96,-1,12
97,-1,12
98,-1,8
98,6,4
98,7,4
99,-1,8
99,6,4
99,7,4
100,-1,8
100,6,4
100,7,4
101,-1,2
101,5,3
101,6,1
101,7,1
102,5,4
103,5,4
104,5,4
105,5,4
106,5,4
107,5,4
108,5,4
109,5,4
110,5,4
111,5,4
112,5,4
113,5,4
114,5,4
115,5,4
116,5,3
120,3,1
121,3,4
122,-1,3
122,3,1
123,-1,2
123,3,2
124,-1,4
125,-1,4
126,-1,4
127,-1,4
128,-1,4
129,-1,1
129,3,2
129,5,3
129,8,3
130,3,4
130,5,4
130,8,4
131,3,1
131,5,1
131,8,4
132,8,4
133,8,4
134,8,3
135,8,4
136,3,3
136,5,4
136,8,4
137,3,3
137,5,4
137,8,4
138,8,4
139,3,2
139,5,1
139,8,4
140,3,4
140,5,4
140,8,1
141,3,3
141,5,3
145,5,3
146,5,4
147,0,3
147,2,2
147,3,4
148,0,4
148,2,2
148,3,4
149,0,4
149,2,4
149,3,4
150,0,4
150,2,4
150,3,4
151,0,4
151,2,4
151,3,4
152,0,4
152,2,4
152,3,4
153,0,4
153,2,4
153,3,4
154,0,4
154,2,4
154,3,4
155,0,4
155,2,4
155,3,4
156,0,4
156,2,4
156,3,4
157,0,4
157,2,4
157,3,4
158,0,4
158,2,4
158,3,4
159,0,4
159,2,3
159,3,3
160,0,4
160,2,4
161,0,1
161,2,1
161,5,3
162,5,4
163,5,4
164,-1,6
165,-1,8
166,-1,8
167,-1,8
168,-1,6
168,5,1
169,5,4
170,5,4
171,5,4
172,5,4
173,5,4
174,5,3
187,3,1
188,3,1
196,5,1
197,5,3
