image_filename,description,label,prob
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second23_frame673.jpg,a close up of a man sitting at a table with a chess board,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second34_frame999.jpg,arafed image of a man playing chess with a woman watching,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second29_frame847.jpg,there is a woman playing a game of chess on a table,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second28_frame825.jpg,a close up of a person playing a game of chess,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second29_frame854.jpg,arafed image of a woman playing chess with a man,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second27_frame811.jpg,a close up of a person playing a game of chess,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second27_frame804.jpg,a close up of a chess board with a person playing it,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second23_frame680.jpg,a close up of a person sitting at a table with a chess board,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second20_frame601.jpg,a close up of a man in a white shirt holding his hands to his face,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second23_frame695.jpg,a close up of a person sitting at a table with a chess board,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second23_frame688.jpg,a close up of a person sitting at a table with a chess board,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second28_frame818.jpg,a close up of a person playing a game of chess,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second31_frame905.jpg,arafed image of a woman playing chess with a man,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second21_frame637.jpg,arafed man in white shirt holding his head in his hands,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second22_frame644.jpg,there is a man in a white shirt holding his head,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second29_frame862.jpg,there is a woman playing a game of chess on a table,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second28_frame840.jpg,a close up of a person playing a game of chess,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second28_frame833.jpg,a close up of a person playing a game of chess,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second22_frame666.jpg,a close up of a man sitting at a table with a chess board,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second29_frame869.jpg,arafed image of a woman playing chess with a man,0,1.0
