second,cluster,size
0,7,4
1,7,4
2,7,4
3,7,4
4,7,4
5,7,4
6,7,4
7,7,4
8,7,4
9,7,4
10,8,4
11,8,4
12,8,4
13,7,1
13,8,3
14,7,4
15,7,4
16,7,4
17,7,1
17,8,3
18,8,4
19,8,4
20,0,2
20,8,2
21,0,4
22,0,4
23,0,4
24,-1,4
25,-1,4
26,-1,4
27,-1,2
27,0,2
28,0,4
29,0,4
30,0,4
31,0,4
32,0,4
33,0,4
34,0,2
34,5,2
35,5,4
36,5,4
37,5,4
38,5,4
39,5,4
40,5,4
41,5,4
42,5,4
43,5,4
44,5,4
45,5,4
46,5,4
47,5,4
48,5,4
49,5,4
50,6,4
51,6,4
52,6,4
53,6,4
54,6,4
55,6,4
56,6,4
57,6,4
58,6,4
59,6,4
60,6,4
61,6,4
62,6,4
63,6,4
64,6,4
65,6,4
66,6,4
67,6,4
68,3,1
68,6,3
69,3,2
69,7,1
69,8,1
70,3,4
71,3,4
72,3,4
73,3,4
74,3,4
75,3,4
76,3,4
77,3,4
78,3,4
79,3,4
80,2,4
81,2,4
82,3,4
83,3,4
84,3,4
85,3,4
86,3,4
87,3,4
88,3,4
89,3,4
90,2,4
91,2,4
92,2,4
93,2,4
94,2,4
95,2,4
96,2,4
97,2,4
98,2,4
99,2,4
100,4,4
101,4,4
102,4,4
103,4,4
104,4,4
105,4,4
106,4,4
107,4,4
108,4,4
109,4,4
110,4,4
111,4,4
112,4,4
113,4,4
114,4,4
115,4,4
116,4,4
117,4,4
118,4,4
119,4,4
120,4,4
121,4,4
122,4,4
123,4,4
124,4,4
125,4,4
126,4,4
127,4,4
128,4,4
129,4,4
130,4,4
131,4,4
132,4,4
133,4,4
134,4,4
135,4,4
136,4,4
137,1,1
137,4,3
138,1,4
139,1,4
140,1,4
141,1,4
142,1,4
143,1,4
144,1,4
145,1,4
146,1,4
147,1,4
148,1,4
149,1,4
150,1,4
151,1,4
152,1,4
153,1,4
154,1,4
155,1,4
156,1,4
157,1,4
158,1,4
159,1,4
160,1,4
161,1,4
162,1,4
163,1,4
164,1,4
165,1,4
166,1,4
167,1,4
168,1,4
169,1,4
170,1,4
171,1,4
172,1,1
172,8,3
173,8,4
174,8,4
175,8,4
176,8,4
177,8,4
178,8,4
179,8,4
180,8,4
181,8,4
182,8,4
183,8,4
184,8,4
185,8,4
186,8,4
187,8,4
188,8,4
189,8,4
190,8,4
191,8,4
192,8,4
193,8,4
194,8,4
195,8,4
196,8,4
197,8,4
198,8,4
199,8,4
200,8,4
201,8,1
